names,location,max mag,min mag,period
RZ    Sgr  ,201528.4-442437 ,10.4,<13.0      ,223.2
V0633 Ara  ,171701.0-521406 ,11,<14.5      ,223.3
TX    Lyr  ,181625.2+404135 ,10.4,<13.       ,223.35
V0640 Ara  ,175007.9-491034 ,11.8,<13.6      ,223.4
NW    Aql  ,194711.2+122904 ,13.4,<16.0      ,223.5
V0454 Nor  ,160528.3-423455 ,12,15.5,223.5
V0338 Sco  ,174915.4-402649 ,15.5,<16.5      ,   223.5         :  
PU    Sco  ,174555.4-430651 ,13.6,16,223.85
BE    Ara  ,173737.0-471227 ,14.6,<16.5      ,224
IN    Cas  ,014057.2+561944 ,13.5,<17.5      ,224
QZ    Aps  ,141355.9-761306 , 14.1  : , 17.0  :   ,224
V0397 Sco  ,174946.7-350546 ,15.5,<16.5      ,224
V0715 Aql  ,195423.6+080018 ,13.8,<16.2      ,224
V1245 Aql  ,193051.5+022746 ,15.4,18,224
V0473 Cen  ,125037.2-311301 ,12.4,<16.0      ,224
V0465 Hya  ,144824.0-271554 ,11.3,<14.6      ,224
XZ    Ara  ,164006.3-585139 ,15,<16.5      ,224
V0361 Aql  ,192443.8-000900 ,14.1,<15.2      ,224
V3503 Sgr  ,183201.0-364015 ,15.1,19.7,224
V1327 Sgr *,180205.8-300257 ,16.3,<19.0      ,224.1
AN    Lyr  ,192150.1+320031 ,11, 17.   :   ,224.2
CH    Car *,110424.3-612204 ,10.9, 15.4  :   ,224.3
SU    Cir  ,140101.6-654632 ,14.9,<16.5      ,224.3
RY    PsA  ,214728.9-361148 ,8.8,<14.0      ,224.39
EE    CMi  ,075108.0+005635 ,12.5,14.1,224.4
V1291 Aql *,195318.7-030652 ,5.61,5.67,224.5
UU    Hyi *,031939.6-691813 ,13.1,14.3,   224.5         :  
U     Ara  ,175337.6-514114 ,7.7,14.1,224.6
ST    Crv  ,115946.7-131453 ,11.7,<15.       ,224.6
SX    Tau *,035304.3+253241 ,13, 16.0  :   ,224.6
CH    Vul  ,201737.4+265319 ,12.1,<16.5      ,224.6
GM    CrA  ,180805.8-375818 ,13.5,<16.5      ,224.6
R     Sco *,161739.1-225640 ,9.8,15.5,224.61
CG    Car  ,105924.0-623356 ,11,<16.       ,224.7
V0752 Sco  ,175806.7-342158 ,14.5,<15.5      ,225
OW    Tel  ,185424.9-460836 ,10.6,14.3,225
V0500 Cen  ,140914.5-401503 ,11,15.8,225
V1455 Sco  ,171241.3-320452 ,11.9,17.6,225
V1316 Sco  ,155341.6-251712 ,11.6,<15.0      ,225
BG    Sge  ,200245.1+204710 ,12.4,<15.5      ,225
V1594 Sgr  ,182004.9-304340 ,13.9,<16.0      ,225
LV    Aql  ,193908.5+125526 ,14.9,<16.4      ,225
V2357 Sgr  ,183026.3-222341 ,13.9,16.6,225
BL    Lup  ,153201.3-414317 ,14.2,<16.2      ,225
SW    Lyr  ,185501.1+295112 ,13,<15.       ,225
V0593 Sgr *,180524.5-343152 ,14.5,<16.5      ,225
V1578 Sgr  ,181312.8-282746 ,13.8,<15.3      ,225
V1738 Sgr  ,180155.0-314916 ,14.1,17.9,225
V1275 Cyg *,194139.8+400249 ,15.7,<17.4      ,225
AL    Sge  ,195308.3+190046 ,13.5,15.7,225
V1499 Sco  ,171722.1-321729 ,12.6,<18.0      ,225
V0481 Aql  ,185119.4+104429 ,14.1, 18.5  :   ,225
V0427 Oph  ,180822.5+015458 ,14,<15.8      ,225
V2755 Sgr  ,181437.4-304841 ,14.9,18.9,225
V1619 Oph  ,171305.6-193621 ,15.6,<19.3      ,225
V0932 Sgr  ,183007.9-305340 ,12.7,17.5,225
V1351 Sgr  ,180231.1-301649 ,16.9,17.7,   225.0         :  
V     Pav *,174318.9-574326 ,9.3,11.2,225.4
BU    Del  ,202203.9+093641 ,13.5,<15.5      ,225.5
AD    Dra  ,191244.3+621615 ,11.3,15.5,225.5
FW    Gem  ,065833.8+313826 ,10.4,<13.       ,225.55
V0585 Sgr  ,180433.4-354348 ,13.4,<17.5      ,225.6
V0382 Ori *,062009.7+173702 ,13.2,17.2,225.6
UZ    Cam *,141902.3+810316 ,12.4,<14.5      ,225.64
T     Col *,051917.3-334229 ,6.6,12.7,225.84
X     Ind  ,213028.4-535719 ,9,<13.0      ,225.85
S     UMa *,124356.7+610536 ,7.1,12.7,225.87
V0893 Mon  ,074527.2-051312 ,11.8,13.4,226
CV    Sgr  ,190637.5-122042 ,14.1,<16.0      ,226
V0479 CrA  ,180408.5-413342 ,13.4,<15.5      ,226
V2372 Sgr  ,183736.3-221235 ,14.4,16.2,226
SV    Tel  ,185617.9-492810 ,8.5,<14.       ,226
UX    Vel  ,104012.8-544255 ,10,<17.       ,226
V0671 Car  ,105809.3-721446 ,8.8,12.4,226
V0659 Aql  ,194304.5+151108 ,15.1,<16.2      ,226
DN    Her  ,161209.4+103626 ,10.5,<12.5      ,226
OV    Sgr  ,185440.5-304301 ,12.9,<15.6      ,226
QU    Aps  ,140702.4-721130 ,12.4,<14.0      ,226
EV    Del  ,203423.7+203126 ,13,<15.5      ,226
IV    Sgr  ,183536.3-240911 ,14,<16.0      ,   226.          :  
AC    Pav  ,180612.3-571850 ,13,18,   226.          :  
KW    Ser  ,181936.4-143929 ,11.6,12.7,   226.          :  
V1316 Tau  ,042127.3+012913 ,5.31,6.83,   226.          :  
V0679 Sgr *,181407.7-360445 ,13.6,17.9,226
V1349 Cen  ,142628.1-600211 ,11,11.7,226.2
AI    Vul  ,194647.4+280833 ,13.2,<17.5      ,226.2
AB    Sge  ,194743.5+175224 ,13.9,<16.0      ,226.2
V0566 Cyg  ,203513.9+555851 ,14.5,<17.5      ,226.3
U     Phe  ,003503.2-501216 ,10.1,<14.5      ,226.3
EO    Ara  ,172603.5-601454 ,14,<16.5      ,226.4
V0419 Cyg  ,200229.6+383520 ,13,<16.5      ,226.4
V0640 Oph  ,183708.6+111616 ,13.8,20,226.4
NS    Sco  ,173936.2-403630 ,15,<16.6      ,226.5
U     Lib  ,154203.1-211051 ,9,15,226.59
CT    Aql *,191704.7-092250 ,13.5,16.3,226.72
DL    Per  ,022511.2+515520 ,13.9,18,226.8
BL    Cen  ,130631.9-553452 ,13.3,<16.5      ,226.8
FM    Lac  ,225111.0+530646 ,14,15.2,227
V0556 Cen  ,144810.5-413445 ,14.5,15.7,227
UV    And  ,012917.6+363922 ,10.84,11.9,227
V1680 Sgr  ,183228.1-231636 ,14.1,<16.5      ,227
V0968 Sgr  ,190206.5-265335 ,14,<17.       ,227
V0664 Car  ,105030.7-724436 ,10.1,<15.0      ,227
V0774 Ara  ,165736.7-630515 ,14,16.8,227
V0406 Ser  ,173247.9-143733 ,12.7,<14.0      ,227
GL    Oph  ,170451.8-300506 ,14,<16.5      ,227
V0411 Oph  ,183102.6+094011 ,12.3,17.2,227
V0748 CrA  ,182828.6-425125 , 12.0  : ,<15.6      ,227
MR    Sgr  ,184121.3-272439 ,13.5,<16.0      ,227
II    Sge  ,190811.3+175452 ,14.5,17.5,227
NS    Mus  ,114705.9-751235 ,12.4,14.1,227
VY    Cam  ,050608.0+563828 ,12.4,13.6,227
HT    Sgr  ,182823.2-254054 ,13.5, 15.0  :   ,   227.          :  
V0384 Sct  ,182655.0-154023 ,14.1,17.4,   227.          :  
DW    Cir  ,143856.0-692232 ,13.3,<14.5      ,   227.          :  
V2973 Sgr  ,181902.4-305954 ,14.3,<18.5      ,227
CD    Aql *,193815.3-041859 ,12.7,<15.5      ,227.03
AD    Sco  ,164917.3-271258 ,13.8,<16.5      ,227.4
V0883 Cyg  ,193205.7+284824 ,15.3,<17.3      ,227.4
DX    Ara  ,172242.5-580415 ,13.3,<16.5      ,227.4
CO    Nor  ,161404.3-585540 ,15, 16.5  :   ,227.5
EG    Sco  ,165150.6-285620 ,13.9,<16.5      ,227.5
CF    Vir  ,141544.5-055208 ,11,<14.0      ,227.6
V0717 Sgr  ,181755.5-352301 ,13.5,<17.3      ,227.66
V0534 Ara  ,173918.9-665500 ,10.1, 15.0  :   ,227.7
YY    And  ,235732.3+320221 ,11.9,<15.2      ,227.8
Y     Mon *,065652.1+111432 ,8.6,14.9,227.9
V0470 CrA  ,180238.0-421317 ,13,<15.5      ,228
V0802 Cen  ,124901.6-364546 ,9.8,12.6,228
HT    Sct  ,185031.3-084253 ,14.8,16.6,228
EU    Cha  ,092308.1-783641 ,12.4,<15.2      ,228
MX    Sgr  ,184451.0-233008 ,13.8,16.3,228
V0370 And  ,015844.3+452607 ,6.18,7.19,228
V0380 Ara  ,164831.5-564903 ,15.2,<19.0      ,228
TY    CMa  ,061803.1-162848 ,11.5,<14.       ,228
EW    Her  ,180350.4+332302 ,12.7,17.5,228
V0440 Aql  ,200743.2+114159 ,14,<15.5      ,228
VV    Per *,032658.7+494258 ,11,<12.5      ,228
DM    Lup  ,143323.6-445950 ,11.3,16.1,228
V0391 CrA  ,191227.3-385905 ,12,<15.5      ,228
V0476 Cas  ,014321.8+592151 ,16,<19.       ,228
V0521 Hya  ,091605.5-233920 ,12.7,<15.0      ,228
V1614 Oph  ,171257.1-173024 ,15,18.9,228
SW    Tel  ,192739.6-455231 ,10.4,14.3,228.2
RS    Mic  ,202904.4-283106 ,10,15.5,228.5
V0845 Aql  ,202921.5+005055 ,11.8,16.7,228.5
UY    Cnc  ,083607.0+131232 ,10.8,17,228.55
V0661 Sgr  ,181228.5-354507 ,14,<17.6      ,228.7
V     Cas  ,231140.7+594159 ,6.9,13.4,228.83
DT    Per *,023123.1+565257 ,13.8, 20.   :   ,228.9
V1278 Sco  ,175746.5-312006 ,11.3,13.7,229
V2129 Sgr  ,191552.1-221626 ,13.2,<16.0      ,229
BQ    Sge  ,200619.2+195925 ,13.8,<16.5      ,229
FP    Sgr  ,190522.2-344934 ,13.3,<17.       ,229
QQ    TrA  ,154226.3-670754 ,12.5,<14.6      ,229
V5506 Sgr  ,180736.9-273347 ,10.8,12.4,229
V0633 Sgr *,180923.4-345809 ,15.3,17.9,229
V1431 Sco  ,171102.7-340247 ,13.5,<14.7      ,229
V0927 Cyg *,193731.3+484732 ,10.5,12,229
V1136 Cen  ,124933.0-552340 ,11.8,<14.4      ,229
V0808 Car  ,110523.0-731857 ,13,<15.0      ,229
RV    Aur  ,063444.6+423013 ,11.8,13.1,229
BE    Sge  ,200108.2+211945 ,15.2,<17.0      ,   229.          :  
V0953 Sgr  ,184237.5-311254 ,12.8,<15.9      ,229
V1829 Oph *,171848.8-220249 ,16.8,<19.5      ,229
V3679 Sgr  ,183741.4-304813 ,13.5,18.4,229
BW    Cen  ,133301.8-504844 ,13.5, 16.5  :   ,229.2
AO    Tau  ,044944.6+282029 ,12.7,16.6,229.2
R     Pav *,181253.0-633657 ,7.5,13.8,229.46
V2032 Sgr  ,184347.1-273402 ,14,<16.2      ,229.5
V1242 Aql  ,192922.2+032820 ,15.6,<17.5      ,229.5
YY    Lib  ,150810.7-211001 ,9,<12.       ,229.53
FU    Sgr  ,180059.7-343643 ,13.7,<16.5      ,229.6
BC    Gem  ,070440.9+095613 ,11.7,15.5,229.7
V0381 Oph  ,175100.7+064611 ,12.7,18.5,229.85
V0951 Sgr  ,184227.2-311400 ,13.5,<16.       ,230
AD    Mus  ,133420.1-694055 ,15.1,<16.5      ,230
V0399 Lyr  ,192229.5+345611 ,13.8,<17.6      ,230
OV    Sct  ,185445.6-060022 ,14.7,17.2,230
TU    Gem  ,061053.1+260053 ,9.4,12.5,230
GN    Cep  ,215952.2+572149 ,12.2,<14.5      ,230
V0803 Oph  ,173908.9+035853 ,13.3,14.3,230
V0630 Car  ,095459.7-615741 ,12.4,<14.2      ,230
V1483 Sco  ,171448.7-324120 ,12.3,<18.0      ,230
QR    TrA  ,154343.4-633953 ,12.7,<14.5      ,230
V1449 Sco  ,171206.0-321705 ,11.2,14.8,230
XY    Vol  ,090213.6-643257 ,12.8,15.4,230
V1806 Sgr  ,180510.0-291048 ,14.6,15.8,230
BC    Del  ,201526.2+160716 ,14.5,<15.5      ,230
V1587 Sgr  ,181730.4-291602 ,13.2,<16.1      ,230
V0463 Oph  ,175137.9-013222 ,14.2,<15.9      ,230
KV    Sgr  ,184429.4-231939 ,12.6,<15.6      ,230
V1890 Sgr  ,182907.1-270233 ,14,<16.3      ,230
HY    Del  ,204254.9+174432 ,13,13.7,   230.           /N
V1259 Tau  ,053726.7+222031 ,15,18,   230.          :  
EV    Sgr  ,193312.2-144809 ,13.5,<16.5      ,   230.          :  
V1204 Oph *,170042.2-203104 ,16,16.5,   230.          :  
IT    Vul  ,192835.8+270704 ,15.5,<17.       ,   230.          :  
V1219 Aql  ,192307.2-063612 ,15.5,16.5,   230.          :  
V1745 Sgr  ,180259.5-313104 ,14.9,<18.       ,   230.          :  
V1464 Oph  ,170917.4-203217 ,17.2,18.9,230
V2649 Sgr *,181246.7-340827 ,15.2,<18.7      ,   230.0         :  
V1861 Oph *,171927.3-191445 ,16.7,<19.2      ,   230.0         :  
SU    CrA  ,180056.5-435650 ,14.5,<17.0      ,230.2
V0497 Cyg  ,201908.2+465334 ,12.8,<15.5      ,230.2
V0399 Aql  ,194042.8+031206 ,12.4,15.9,230.4
GS    Per  ,042359.6+415628 ,14.1,<20.       ,230.5
V0529 Aql  ,191929.9+004527 ,15,<16.5      ,230.5
RR    UMa  ,132556.3+622252 ,8.6,14.2,230.58
MY    Sco  ,173725.1-430738 ,14,<16.5      ,230.6
S     Sgr *,191925.9-190125 ,9.5,16,230.64
V0572 Sgr  ,180333.0-365811 ,14.2,<16.5      ,230.7
BB    Aql  ,191639.1-085541 ,13.4,17,230.86
V0584 CrA  ,182456.1-400542 ,14.4,<15.5      ,231
NN    Sco  ,173842.1-433935 ,14.8, 17.0  :   ,231
AU    Lup  ,152405.4-442411 ,11.4,<16.5      ,231
V0588 Pup *,080632.0-134635 ,10.9,<14.5      ,231
V0349 Sgr  ,184234.9-215957 ,12.5,<16.4      ,231
WY    Hyi  ,035154.9-735807 ,12,<15.6      ,231
LS    Lib  ,154414.3-225532 ,12,14.5,231
V1631 Sgr  ,183727.2-282940 ,12.9,15,231
HP    Sgr  ,182705.0-262338 ,13.4,<15.8      ,231
AE    Vul  ,190427.5+242113 ,13.2, 18.   :   ,231
HP    Aql  ,185930.5-051442 ,14,16.9,231
QX    Ara *,163819.4-543339 ,11.3,<15.0      ,231
V1585 Sgr  ,181630.4-293635 ,13.2,15.1,231
V0587 Car  ,092029.3-664847 ,12,12.8,   231.          :  
AI    Per  ,024858.1+374428 ,11.9,16.3,231
BM    Ara  ,174648.0-462941 ,11.7,<14.1      ,231.2
AC    Vul  ,185955.7+251037 ,12.1,18.5,231.2
UV    Sgr  ,192929.7-380530 ,10.8,16.5,231.41
AK    Nor  ,155408.0-591410 ,15,<16.5      ,231.5
V0573 CrA  ,182334.1-370745 ,13.8, 20.5  :   ,231.5
FO    Sco  ,170608.2-322756 ,13.5,<17.0      ,231.6
HL    Sco  ,165445.7-301638 ,15.1,<16.5      ,231.6
V0339 Her  ,180358.4+192554 ,13.5,15.5,231.7
V0358 Cen *,115731.3-491033 ,13.9,15.8,231.9
EL    Cir *,144941.0-674812 ,11.2,<14.0      ,232
V1691 Sgr *,183452.0-220459 ,13.7,<16.4      ,232
V0385 Oph  ,175426.5-010025 ,13.7,<15.6      ,232
RZ    Ant  ,093835.7-295654 ,12.4,14.6,232
V1131 Cen  ,124156.6-501612 ,11.4,<15.0      ,232
EH    Sgr  ,191436.0-160458 ,12.9,<16.0      ,232
V0357 Sgr  ,190035.3-151214 ,13.4,15.2,232
CP    Lup  ,155228.9-405845 ,15.5,<16.3      ,232
QY    Sco  ,174800.6-430737 ,14.8,<16.5      ,232
V0351 Sgr  ,185646.4-164558 ,12.6,<16.0      ,232
V2577 Oph *,161353.4-063216 ,11.6,<14.8      ,232
AQ    Pic  ,063816.5-581734 ,10.2,<14.6      ,232
CT    Ara *,171234.5-572412 ,15.2,17.7,232
V5232 Sgr  ,175857.8-290350 ,16.17,-0.6,   232.          :  
V3071 Sgr *,182019.8-320703 ,15.9,18.7,   232.          :  
V0732 Car  ,104616.0-582521 ,6.87,7.11,   232.          :  
V3760 Sgr  ,184110.1-330007 ,14,16.9,   232.          :  
V1348 Sgr  ,180226.4-300656 ,18.3,19.2,232
V1402 Sgr  ,180302.8-301209 ,15.7,<19.0      ,232
V2980 Sgr  ,181852.1-334101 ,16.3,18.9,232
V3712 Sgr  ,183918.5-305557 ,15,19.4,232
V3057 Sgr  ,182003.8-315826 ,14.1,18.7,232
V1532 Oph *,171107.3-220518 ,16.7,<19.7      ,   232.0         :  
UW    Oph  ,174447.3-113833 ,10.8,<15.       ,232.06
AF    Cep  ,021335.1+824403 ,12,<15.5      ,232.2
MQ    Sco  ,173437.4-451532 ,15.1,<16.7      ,232.3
AX    Mon *,063032.9+055201 ,6.59,6.94,232.5
NT    Sco  ,174043.0-443228 ,14.5,<16.5      ,232.5
FG    Sgr  ,194439.7-122402 ,11.9,16,232.5
V2842 Sgr  ,181636.1-353423 ,15.3,<18.4      ,232.5
V3625 Sgr *,183542.6-311357 ,15.2,<18.3      ,   232.5         :  
eta   Gem *,061452.7+223024 ,3.15,3.9,232.9
V0341 Sgr  ,190938.6-215151 ,12.8,<16.0      ,233
CX    Mic  ,205109.0-345353 ,11,15.2,233
V0368 UMa  ,142605.1+580512 ,10.4,13.2,233
V0480 Vel  ,090545.0-373939 ,12.7,<14.2      ,233
EO    And  ,013158.5+454621 ,14.1,<16.5      ,233
CO    Sgr  ,190412.0-125242 ,13.4,14.8,233
V5556 Sgr  ,202729.2-304837 ,12,<15.0      ,233
Z     Tel  ,193933.8-453433 ,9.2,<14.6      ,233
PR    Oph  ,170029.5-121549 ,11.2,14.5,233
QU    Mus *,132719.4-743108 ,12.4,<14.5      ,233
V0366 CMa  ,063541.1-291246 ,11.7,14.1,233
V0388 Ara  ,165025.3-553748 ,13,<16.3      ,   233.          :  
V0457 And  ,004542.2+461158 ,12.2,15.2,   233.          :  
V1999 Sgr  ,183232.2-345840 ,12.7,16.3,233
Y     Pav  ,212416.7-694402 ,8.6,10.3,233.3
NP    Boo  ,145641.0+273025 ,10.5,13,233.3
UW    Lyr  ,191134.9+281324 ,12.3,18.5,233.34
TX    And *,012158.4+384143 ,10.4,13.8,233.4
RU    Cyg *,214039.1+541929 ,9.2,11.6,233.43
DO    TrA  ,163557.8-644511 ,13.4,<16.4      ,233.5
NQ    Sco  ,173912.3-412725 ,15,<16.7      ,233.5
V4067 Sgr *,183537.9-240002 ,15.4, 18.0  :   ,233.5
S     Oph  ,163415.2-170939 ,8.9,14.7,233.51
OZ    Lyr  ,191703.2+285103 ,14.2,<15.3      ,233.7
V1915 Sgr  ,183620.7-322856 ,13.5,<17.6      ,233.8
S     LMi  ,095343.2+345535 ,7.5,14.3,233.83
CF    Aps  ,163541.9-723838 ,11.6,<16.1      ,233.9
V0491 Mon  ,063430.3+110441 ,12,13.6,234
FP    Cha  ,112405.9-755449 ,11.3, 12.6  :   ,234
RX    Ant  ,093754.9-274350 ,10.6,14.5,234
CX    Peg  ,214931.5+224145 ,12,<15.0      ,234
MN    CrA  ,180322.8-403934 ,13.2,<16.5      ,234
V0343 Lup  ,150427.6-305246 ,10.8,<15.0      ,234
HK    Sct  ,185003.5-105659 ,14.4,17.4,234
V1884 Sgr  ,182834.1-332444 ,12.8,15.8,234
GU    Oph  ,170536.2-285611 ,14.2,<16.5      ,234
DO    Oph  ,165731.2-275111 ,14.5,<16.5      ,234
V0454 Aql  ,193825.6+103542 ,14.2,<16.5      ,234
V1837 Sgr  ,181616.9-272240 ,14.3,<16.1      ,   234.          :  
V3179 Sgr *,182257.9-324031 ,15.6,18.5,   234.          :  
VW    Sct *,183223.1-095510 ,10.6,18,234
EL    Lyr  ,191320.8+320318 ,12.2,<16.5      ,234.1
CD    Lib  ,153423.5-264118 ,12.8,<16.5      ,234.2
VV    Aps  ,150248.4-714814 ,12.4,<16.5      ,234.25
V0688 Sgr  ,181444.3-354427 ,13,18.9,234.4
W     Vul *,201004.3+261707 ,10.2,11.8,234.52
V0564 Sco  ,164649.0-402534 ,13.8,<17.5      ,234.7
U     Cet  ,023343.7-130854 ,6.8,13.4,234.76
SY    Sco *,175348.8-342403 ,10.5,<15.0      ,234.9
V0475 Oph  ,175824.7+040905 ,14.5,<16.3      ,235
V1799 Sgr  ,180510.5-335829 ,14.5,<18.       ,235
V2385 Sgr  ,184625.3-324925 ,13.2,<15.5      ,235
V1445 Sco  ,171153.1-331949 ,11.8,17.8,235
V0698 Car  ,100357.6-600037 ,11.6,12.5,235
RR    Cyg *,204604.6+445210 ,11.9,12.8,235
V3978 Sgr  ,175923.5-291238 ,         ,           ,235
V1436 Sco  ,171132.3-322457 ,12.5,<18.0      ,235
AN    Tel *,184639.0-552113 ,10.5,11,235
DW    Ser  ,160249.2+003641 ,11.5,15,235
V1058 Sgr  ,190128.7-223901 ,13.4,<16.1      ,235
V0417 Sco  ,175342.1-372251 ,14,<16.5      ,235
EU    Ara  ,172826.8-540347 ,11.1,12,235
KU    Sct  ,185209.9-101155 ,15.8,<17.0      ,235
V1964 Sgr  ,182013.3-232946 ,14,<16.3      ,235
V1261 Sgr  ,191707.3-260041 ,12.9,<15.7      ,235
SS    Mus  ,130809.9-711258 ,15,<18.5      ,   235.          :  
UV    Del  ,202054.3+182122 ,12.3,13.7,   235.          :  
EY    Sco  ,165759.0-311843 ,14.2,15.8,   235.          :  
AK    Lup  ,151510.4-441755 ,12.6,<16.5      ,   235.          :  
V5409 Sgr  ,180259.5-300254 ,15.2,15.95,   235.          :  
V1558 Oph  ,171146.5-182059 ,14.9,19,235
UV    Lyr  ,191023.8+275040 ,11,17.3,235.2
AQ    Ara  ,172833.4-465806 ,11.1,14.5,235.3
V1733 Oph  ,171613.0-171940 ,15.1,<19.3      ,235.5
R     Lup  ,155328.9-361752 ,9.4,14,235.62
BQ    Aql  ,192616.8-070246 ,13.4,15,235.66
RX    Sco  ,161157.3-245356 ,11.2,<16.       ,235.7
V0825 Cen *,132612.7-472443 ,13.1,16.1,235.74
WX    Hya  ,091326.8-142310 ,9.5,<12.5      ,235.78
QW    Sco  ,174731.9-410259 ,15.1,<16.5      ,235.8
SU    Dor  ,044730.0-554106 ,8.5,<14.0      ,235.86
SZ    Del  ,204045.3+185622 ,11,<16.       ,235.92
DD    Nor  ,161628.0-601531 ,14.8,<16.5      ,236
HY    Nor  ,162226.6-522041 ,11.5,15.5,236
OT    TrA  ,151821.9-643209 ,11.8,<15.3      ,236
V0369 Lup  ,152413.4-425630 ,11.7,14.4,236
EY    Cen  ,133914.6-492559 ,14.2,16.3,236
V0673 Ara  ,165212.9-551152 ,13.3,15.7,236
V5364 Sgr  ,180149.5-301545 ,12.5,13.8,236
V1672 Sgr  ,183037.5-211053 ,14.2,16.2,236
V0651 Oph  ,183840.1+092223 ,15.8,<17.       ,236
CZ    Lyr  ,185238.7+285814 ,13.9,<16.5      ,236
FL    Pup  ,081021.1-230047 ,12.2,<16.       ,236
V1143 Sgr  ,192452.8-180923 ,12.8,16.6,236
EG    Lyr  ,191048.8+383426 ,10.48,12.86,236
V1876 Sgr  ,182623.8-304513 ,14.1,<16.2      ,236
GZ    Mon  ,065448.4+082021 ,13.4,<17.1      ,236
V1807 Ori  ,052639.2+013723 ,12.2,13.7,236
HS    CrA  ,181250.9-371236 ,14.5,<16.5      ,236
GK    Ori  ,061742.1+083111 ,9.5,11,236
PV    TrA  ,153411.2-643622 ,10.8,<14.5      ,236
KL    Sgr  ,183803.6-235410 ,13.2,<16.5      ,236
V0410 Vel  ,094911.2-404136 ,12.3,16.2,236
V2694 Sgr  ,181330.8-333626 ,15.4,<17.7      ,   236.          :  
V0492 Sco  ,173845.5-345718 ,13.6,15.8,   236.          :  
OO    Mus  ,120337.9-742835 ,11.5,13.9,   236.          :  
V2709 Sgr  ,181345.8-313842 ,16.2,<19.1      ,236
VZ    Ser  ,180548.6-004305 ,13.6,<16.       ,236.2
RY    Pav  ,200123.6-565001 ,11,<15.       ,236.3
V0595 Sgr  ,180545.7-362334 ,14.8,<16.5      ,236.4
V0389 Ser  ,180836.2-144734 ,14.5,16.7,236.5
CW    Lyr  ,185038.2+311426 ,13.1,<16.7      ,236.5
SY    Vir  ,135837.6-043433 ,9.6,13.4,236.65
HH    Aql  ,195904.3-000311 ,12.4,<16.0      ,236.65
BM    Aql  ,192512.3-073447 ,13.7,<15.3      ,236.7
W     Lup  ,151538.3-504731 ,10.6,<13.4      ,236.7
GG    Ara  ,173625.5-592418 ,10.7,<15.0      ,236.8
AI    Lyr  ,191435.6+274946 ,11.2,17.2,236.98
RY    Ret  ,035003.4-572114 ,11,12.2,237
QR    Aps  ,135735.8-730403 ,12.1,<14.5      ,237
DR    Aql  ,193319.9+040612 ,12.5,<15.8      ,237
GK    Ara *,173634.2-594327 ,12.9,<14.6      ,237
V0470 Vel  ,084533.3-392308 ,13,<14.2      ,237
BP    Tel  ,200949.7-554801 ,11,<15.0      ,237
V1228 Sgr  ,185740.2-264025 ,13.7,<15.6      ,237
MN    Car  ,092722.9-630245 ,12.7,<15.5      ,237
V1247 Sgr  ,190631.8-302009 ,13.1,<15.3      ,237
AW    Sct  ,185424.5-092400 ,12.8,<18.4      ,237
V0937 Oph  ,175137.4-001758 ,14.8,16.6,237
Z     Pyx  ,091855.1-251641 ,12.2,<16.0      ,237
GO    Ser  ,180851.9-140833 ,13.2,15.7,237
EM    Lup  ,144931.4-432435 ,13.3,<16.0      ,237
UW    And  ,001410.9+290121 ,9.4,<15.0      ,237
V0427 Sco  ,175558.1-370054 ,13.9,<16.5      ,237
SS    CrA *,180804.6-434459 ,12.2,15.7,   237.          :  
V3017 Sgr  ,181912.3-311935 ,14.6,16.7,   237.          :  
V2909 Sgr  ,181750.1-355912 ,14.3,<18.6      ,237
DI    Ser  ,182201.4+043728 ,12.3,<17.0      ,237.08
AQ    Aqr  ,221250.9-210952 ,11.3,<15.0      ,237.1
RX    Lup  ,154631.0-480323 ,10,<14.       ,237.2
V0910 Oph  ,182832.5+042331 ,13.9,17,237.25
RS    Lac  ,221252.5+434501 ,9.6,12.5,237.26
EL    Oph  ,165953.4-285010 ,15,<16.5      ,237.3
OY    Lyr  ,191701.9+290026 ,14.3,<16.8      ,237.4
TZ    Vel  ,093027.6-530849 ,11.3,<13.5      ,237.4
RW    Del  ,202628.3+124100 ,11,16,237.4
V     Vol  ,074252.5-660556 ,10.5,<13.3      ,237.5
CO    Cen  ,130726.6-555528 ,14,<16.5      ,237.5
V1604 Sgr  ,182349.7-272922 ,12.7,<16.4      ,237.5
T     Lib  ,151044.3-200108 ,10.2,15.6,237.5
U     Ser *,160717.7+095553 ,7.8,14.7,237.5
HX    Oph  ,170806.2-284324 ,14.5,<17.0      ,237.7
CQ    Aql  ,191141.0-100824 ,14,16,237.8
EX    Cha  ,093325.7-785255 ,11.2,<15.0      ,238
YZ    Mus  ,133113.1-674136 ,14.6,<16.5      ,238
V2106 Sgr *,190528.3-163748 ,12.4,14,238
V2547 Sgr  ,182639.3-275911 ,14.2,<16.0      ,238
V0487 CrA  ,180637.3-440936 ,13.8,<15.5      ,238
V0686 Sco  ,175719.6-390334 ,14,<16.5      ,238
V2332 Sgr  ,182344.4-231950 ,14.5,<16.3      ,238
V0973 Sgr  ,190930.0-321627 ,12, 16.5  :   ,238
QX    Mus  ,134719.3-753441 ,12.1,<15.0      ,238
CT    Pup  ,073434.2-252123 ,13.5,<16.5      ,238
V0768 Ara  ,164433.9-542322 ,11.2,<14.0      ,238
HU    Pup  ,075540.2-283855 ,11.5,13.2,   238.          :  
EK    Sgr  ,191552.1-115034 ,12.5,<14.5      ,238
